zona,hayMovimiento,fecha
Casa/Salon,1,2024-01-22 21:08:55
Casa/Salon,1,2024-01-22 21:09:00
Casa/Salon,1,2024-01-22 21:09:10
Casa/Salon,1,2024-01-22 21:09:20
Casa/Salon,1,2024-01-22 21:09:25
Casa/Salon,1,2024-01-22 21:09:35
Casa/Salon,1,2024-01-22 21:09:40
Casa/Salon,1,2024-01-22 21:09:45
Casa/Salon,1,2024-01-22 21:09:50
Casa/Salon,1,2024-01-22 21:09:55
Casa/Salon,1,2024-01-22 21:10:05
Casa/Salon,1,2024-01-22 21:10:10
Casa/Salon,1,2024-01-22 21:10:15
Casa/Salon,1,2024-01-22 21:10:25
Casa/Salon,1,2024-01-22 21:10:30
Casa/Salon,1,2024-01-22 21:10:35
Casa/Salon,1,2024-01-22 21:10:40
Casa/Salon,1,2024-01-22 21:10:45
Casa/Salon,1,2024-01-22 21:10:50
Casa/Salon,1,2024-01-22 21:11:00
Casa/Salon,1,2024-01-22 21:11:05
Casa/Salon,1,2024-01-22 21:11:10
Casa/Salon,1,2024-01-22 21:11:20
Casa/Salon,1,2024-01-22 21:11:25
Casa/Salon,1,2024-01-22 21:11:30
Casa/Salon,1,2024-01-22 21:11:35
Casa/Salon,1,2024-01-22 21:11:45
Casa/Salon,1,2024-01-22 21:12:00
Casa/Salon,1,2024-01-22 21:12:10
Casa/Salon,1,2024-01-22 21:12:20
Casa/Salon,1,2024-01-22 21:12:25
Casa/Salon,1,2024-01-22 21:12:35
Casa/Salon,1,2024-01-22 21:12:45
Casa/Salon,1,2024-01-22 21:12:55
Casa/Salon,1,2024-01-22 21:13:00
Casa/Salon,1,2024-01-22 21:13:05
Casa/Salon,1,2024-01-22 21:13:10
Casa/Salon,1,2024-01-22 21:13:25
Casa/Salon,1,2024-01-22 21:13:35
Casa/Salon,1,2024-01-22 21:13:40
Casa/Salon,1,2024-01-22 21:13:45
Casa/Salon,1,2024-01-22 21:13:50
Casa/Salon,1,2024-01-22 21:14:05
Casa/Salon,1,2024-01-22 21:14:10
Casa/Salon,1,2024-01-22 21:14:15
Casa/Salon,1,2024-01-22 21:14:20
Casa/Salon,1,2024-01-22 21:14:30
Casa/Salon,1,2024-01-22 21:14:35
Casa/Salon,1,2024-01-22 21:14:40
Casa/Salon,1,2024-01-22 21:14:45
Casa/Salon,1,2024-01-22 21:14:55
Casa/Salon,1,2024-01-22 21:15:05
Casa/Salon,1,2024-01-22 21:15:15
Casa/Salon,1,2024-01-22 21:15:20
Casa/Salon,1,2024-01-22 21:15:25
Casa/Salon,1,2024-01-22 21:15:30
Casa/Salon,1,2024-01-22 21:15:35
Casa/Salon,1,2024-01-22 21:15:50
Casa/Salon,1,2024-01-22 21:16:00
Casa/Salon,1,2024-01-22 21:16:05
Casa/Salon,1,2024-01-22 21:16:10
Casa/Salon,1,2024-01-22 21:16:15
Casa/Salon,1,2024-01-22 21:16:20
Casa/Salon,1,2024-01-22 21:16:25
Casa/Salon,1,2024-01-22 21:16:30
Casa/Salon,1,2024-01-22 21:17:00
Casa/Salon,1,2024-01-22 21:17:05
Casa/Salon,1,2024-01-22 21:17:10
Casa/Salon,1,2024-01-22 21:17:20
Casa/Salon,1,2024-01-22 21:17:25
